retention_factor,Retention Description,usda_rf_calcium,usda_rf_iron,usda_rf_magnesium,usda_rf_phosphorus,usda_rf_potassium,usda_rf_sodium,usda_rf_zinc,usda_rf_copper,usda_rf_vitc,usda_rf_vitb1,usda_rf_vitb2,usda_rf_vitb3,usda_rf_vitb6,usda_rf_folate_food,usda_rf_vitb9,usda_rf_folate_total,usda_rf_choline,usda_rf_vitb12,usda_rf_vita_iu,usda_rf_vita_re,usda_rf_alcohol,usda_rf_carotene_beta,usda_rf_carotene_alpha,usda_rf_cryptoxanthin,usda_rf_lycopene,usda_rf_lutein
3771,"VEG,OTHER,BAKED",100,100,100,100,100,100,100,100,85,90,95,95,95,85,85,85,100,100,95,95,100,95,95,95,95,95
3774,"VEG,OTHER,BLD,LITTLE WATER,DRAINED",95,95,95,90,90,95,95,95,80,85,95,90,90,70,70,70,100,100,90,90,100,90,90,90,90,90
3775,"VEG,OTHER,BLD,WATER COVER,DRAINED",95,95,95,90,90,95,95,95,75,80,90,85,85,65,65,65,100,100,90,90,100,90,90,90,90,90
3776,"VEG,OTHER,BLD,WATER USED",100,100,100,100,100,100,100,100,85,90,95,95,90,85,85,85,100,100,95,95,100,95,95,95,95,95
3780,"VEG,OTHER,FRIED",100,100,100,100,100,100,100,100,85,85,95,90,90,70,70,70,90,100,85,85,100,85,85,85,85,85
3784,"VEG,OTHER,STEAMED",100,100,100,100,100,100,100,100,85,90,95,95,90,85,85,85,100,100,95,95,100,95,95,95,95,95
3785,"VEG,OTHER,STIR FRY",100,100,100,100,100,100,100,100,85,90,95,95,95,80,80,80,90,100,90,90,100,90,90,90,90,90
3788,"VEG,OTHER,REHEATED",100,100,100,100,100,100,100,100,90,95,100,100,100,95,95,95,100,100,100,100,100,100,100,100,100,100
3789,"VEG,OTHER,CKD FROM FRZN(BLD,DRAIND",95,95,95,90,90,95,95,95,80,90,95,90,90,70,70,70,100,100,90,90,100,90,90,90,90,90
2201,"NUTS,BAKED,W/DRIPPINGS",100,100,100,100,100,100,100,100,80,85,95,95,95,80,80,80,100,100,95,95,100,95,95,95,95,95
2202,"NUTS,BROILED",100,100,100,100,100,100,100,100,80,85,95,95,95,80,80,80,100,100,95,95,100,95,95,95,95,95
2203,"NUTS,ROASTED",100,100,100,80,100,95,100,100,80,85,95,95,95,80,80,80,100,100,80,80,100,80,80,80,80,80
2204,"NUTS,BOILED,W/DRIPPINGS",100,100,100,100,100,100,100,100,80,85,95,95,95,80,80,80,100,100,95,95,100,95,95,95,95,95
601,"BEEF,ROASTED",90,100,85,85,80,85,100,100,80,55,95,75,50,95,95,95,90,70,75,75,100,75,75,75,75,75
602,"BEEF,BROILED CUT",100,95,85,90,85,85,100,100,80,70,90,80,60,85,85,85,90,80,75,75,100,75,75,75,75,75
603,"BEEF,BROILED GROUND",100,95,85,90,85,85,100,100,80,80,95,90,60,85,85,85,90,80,75,75,100,75,75,75,75,75
604,"BEEF,FRIED,W/O COATING",100,95,85,90,85,85,100,100,80,70,90,80,60,85,85,85,90,80,75,75,100,75,75,75,75,75
605,"BEEF,FRIED",100,95,85,90,85,85,100,100,80,70,90,80,60,85,85,85,90,80,75,75,100,75,75,75,75,75
651,"BEEF,ROAST,BRAISED,WO/DRIPPINGS",80,100,65,65,55,55,100,95,80,45,85,55,35,65,65,65,90,60,75,75,100,75,75,75,75,75
