Food items,Units,Units,Remarks,Source,,,,,,,,,
"Milk, condensed, sweetened",1cup,304g,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/1097540/portions,,,,,,,,,
Tofu,1cup,126g,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/172475/measures,,,,,,,,,
,1block,81g,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/172475/measures,,,,,,,,,
Ham,1cup,269.5g,,https://www.aqua-calc.com/calculate/food-volume-to-weight/substance/ham-coma-and-blank-chopped-coma-and-blank-not-blank-canned-blank--op-slice-coma-and-blank-1-blank-oz-column--blank-4-blank-x-blank-4-blank-x-blank-3-forward-slash-32-blank-inch-cp-,,,,,,,,,
"Fish, sardine",1cup,149g,,USDA (https://courses.washington.edu/bonephys/calist.pdf),,,,,,,,,
"Chicken, breast, skinless, boneless (cooked, braised)",1piece,55g,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/331960/measures,,,,,,,,,
Chicken,1cup,140g,,https://tools.myfooddata.com/nutrition-facts/173637/wt1/1,,,,,,,,,
,,,,,,,,,,,,,
"Mushrooms, raw",1cup,70g,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/1103362/portions,,,,,,,,,
"Olives, black",1cup,135g,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/1103680/portions,,,,,,,,,
,,,,,,,,,,,,,
"Lemon juice, raw",1cup,244g,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/167747/measures,,,,,,,,,
Garlic,1cup,136g,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/169230/measures,,,,,,,,,
Tamarind,1cup,120g,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/167763/measures,,,,,,,,,
"Blueberries, raw",1cup,148g,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/171711/measures,,,,,,,,,
Mango,1cup,165g,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/169910/measures,,,,,,,,,
Kiwi,1cup,180g,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/168153/measures,,,,,,,,,
"Pomegranates, raw",0.5cup,87g,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/169134/measures,,,,,,,,,
"Peach, raw",1cup,155g,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/1102677/portions,,,,,,,,,
"Pears, raw",1cup,161g,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/169118/measures,,,,,,,,,
"Starfruit, raw",1cup,100g,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/2344723/portions,,,,,,,,,
"Spinach, raw",1cup,30g,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/168462/measures,,,,,,,,,
